Year;Oc;Area;Excode;Nation;Land St. / Floating Factory;start month;start year;end month;end year;TBlue;PBlue;Fin;Spm;Hbk;Sei;Bryd;Mi:C;Mi:A;Gray;Bhd;Ri;Unsp;Total;Ty;Ref;Notes;TotalLost
1985;SH;Antarctic;6482;Japan;"Nisshin Maru III; Nippon KyodoH";Dec;1985;Mar;1986;0;0;0;0;0;0;0;0;1941;0;0;0;0;1941;Co;;Whaling under objection;1
1985;SH;Antarctic;6442;USSR;Sovetskaya Ukraina;Dec;1985;Apr;1986;0;0;0;0;0;0;0;0;3028;0;0;0;0;3028;Co;;Whaling under objection;0
1986;IO;Indonesia;4940;Indonesia;Lamalera, Savu Sea;;1986;;1986;0;0;0;9;0;0;0;0;0;0;0;0;0;9;U;"Mu06; Bar05";Unofficial information;
1986;NA;Greenland E;3280;Denmark;E.Greenland Aboriginal;;1986;;1986;0;0;0;0;0;0;0;2;0;0;0;0;0;2;A;PR87;;
1986;NA;Greenland W;3270;Denmark;W.Greenland Aboriginal;May;1986;Sep;1986;0;0;9;0;0;0;0;0;0;0;0;0;0;9;A;PR;ID of 1F uncertain - sei?;0
1986;NA;Greenland W;3270;Denmark;W.Greenland Aboriginal;;1986;;1986;0;0;0;0;0;0;0;145;0;0;0;0;0;145;A;;+ Individual data for 9 fin;
1986;NA;Iceland W;3540;Iceland;"Hvalfjordur; Hvalur H/F";Jun;1986;Sep;1986;0;0;76;0;0;40;0;0;0;0;0;0;0;116;S;;;0
1986;NA;Atlantic NE;3880;Norway;Norway Small Whale;May;1986;Jul;1986;0;0;0;0;0;0;0;379;0;0;0;0;0;379;Co;CNor;Whaling under objection;0
1986;NA;W.Indies;2925;Saint Vincent & the Grenadines;"Bequia; Bequia Whale FishryCoop.";Jan;1986;Jan;1986;0;0;0;0;2;0;0;0;0;0;0;0;0;2;A;;;0
1986;NP;Bonin Is;1500;Japan;Ogasawara;Apr;1986;Jul;1986;0;0;0;0;0;0;315;0;0;0;0;0;0;315;Co;CI;KK82 gives catch as 620 Bry.  Whaling under objection.  1 land st. used by 3 co.;1
1986;NP;Japan;314;Japan;Ayukawa;Apr;1986;Mar;1987;0;0;0;10;0;0;0;105;0;0;0;0;0;115;Co;;Whaling under objection.;0
1986;NP;Japan;326;Japan;Wadaura;Oct;1986;Mar;1987;0;0;0;69;0;0;0;0;0;0;0;0;0;69;Co;;Whaling under objection.;2
1986;NP;Japan;318;Japan;Kiritappu;May;1986;Sep;1986;0;0;0;0;0;0;0;41;0;0;0;0;0;41;Co;;Whaling under objection.;0
1986;NP;Japan;322;Japan;Osawa;Jan;1987;Mar;1987;0;0;0;31;0;0;0;0;0;0;0;0;0;31;Co;;Whaling under objection.;0
1986;NP;Japan;325;Japan;Wada;Jul;1986;Aug;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;;Small whale catch.;0
1986;NP;Japan;324;Japan;Taiji;Apr;1986;Mar;1987;0;0;0;90;0;0;2;0;0;0;0;0;0;92;Co;;Whaling under objection. 1 land st. used by 2 co.;0
1986;NP;JapnN/Kuril Is;302;Japan;Abashiri;Apr;1986;Oct;1986;0;0;0;0;0;0;0;165;0;0;0;0;0;165;Co;;Whaling under objection.;0
1986;NP;Korea;2460;Korea;"Korea; Korea Off-shore Whal.Coop";Apr;1986;Jul;1986;0;0;0;0;0;0;0;69;0;0;0;0;0;69;S;CO;;0
1986;NP;Alaska N;1990;United States;Alaska Aboriginal;Apr;1986;Oct;1986;0;0;0;0;0;0;0;0;0;2;28;0;0;30;A;IR;Est. bowhead kill = 22: IWC95. Inc. 1 dauhval;8
1986;NP;Chukotka;1800;USSR;USSR Aboriginal;;1986;;1986;0;0;0;0;0;0;0;0;0;169;0;0;0;169;A;"PR87; I90";;1
1986;SH;Antarctic;6482;Japan;"Nisshin Maru III; Nippon KyodoH";Nov;1986;Mar;1987;0;0;0;0;0;0;0;0;1941;0;0;0;0;1941;Co;;Whaling under objection;0
1986;SH;Antarctic;6442;USSR;Sovetskaya Ukraina;Dec;1986;Apr;1987;0;0;0;0;0;0;0;0;3028;0;0;0;0;3028;Co;;Whaling under objection;0
1987;IO;Indonesia;4940;Indonesia;Lamalera, Savu Sea;;1987;;1987;0;0;0;7;0;0;0;0;0;0;0;0;0;7;U;"Mu06; Bar05";Unofficial information;
1987;NA;Greenland E;3280;Denmark;E.Greenland Aboriginal;Sep;1987;Oct;1987;0;0;0;0;0;0;0;4;0;0;0;0;0;4;A;PR;;0
1987;NA;Greenland W;3270;Denmark;W.Greenland Aboriginal;Apr;1987;Oct;1987;0;0;5;0;0;0;0;44;0;0;0;0;0;49;A;PR;86 minkes in the PR but 85 in the INF report (and 10 inf, unknown if included in the total);0
1987;NA;Greenland W;3270;Denmark;W.Greenland Aboriginal;;1987;;1987;0;0;4;0;0;0;0;42;0;0;0;0;0;46;A;PR88;+ Individual data for 49 others = 95 total;
1987;NA;Iceland W;3540;Iceland;"Hvalfjordur; Hvalur H/F";Jun;1987;Sep;1987;0;0;80;0;0;20;0;0;0;0;0;0;0;100;S;;;1
