x,y,blue.mean.occurrence,fin.mean.occurrence,humpback.mean.occurrence,sperm.mean.occurrence
-6.5,75.5,0.692237318,0.501542687,0.488357633,0.603456795
-5.5,75.5,0.72590065,0.489617974,0.48576358,0.553928554
-4.5,75.5,0.723200083,0.468989909,0.49148649,0.526457667
-3.5,75.5,0.698454201,0.462182671,0.513614893,0.478740066
-2.5,75.5,0.693764746,0.443741471,0.497977048,0.465155542
-1.5,75.5,0.734273016,0.493056864,0.499178141,0.487097293
-0.5,75.5,0.76268959,0.50180012,0.471251845,0.653378427
0.5,75.5,0.778340042,0.531013906,0.477326095,0.72766012
1.5,75.5,0.758141398,0.51293993,0.463303268,0.728258133
2.5,75.5,0.748387873,0.462403953,0.47576052,0.660616696
3.5,75.5,0.745213866,0.455408186,0.499083996,0.626423717
4.5,75.5,0.740597188,0.468043268,0.482820481,0.654579341
5.5,75.5,0.746207893,0.508821309,0.503674507,0.653936386
6.5,75.5,0.746226072,0.568705201,0.517522633,0.678881645
7.5,75.5,0.729845703,0.608114958,0.527442098,0.738655448
8.5,75.5,0.734616876,0.591727495,0.545437396,0.691170454
9.5,75.5,0.761823952,0.644169807,0.626546979,0.630365193
10.5,75.5,0.765228391,0.661377788,0.633512616,0.627413332
11.5,75.5,0.761739969,0.645120978,0.591471553,0.660805702
12.5,75.5,0.77001375,0.640113354,0.556227386,0.750863492
13.5,75.5,0.791037023,0.681441128,0.583939195,0.833127022
14.5,75.5,0.781602561,0.673637927,0.62501657,0.767923713
15.5,75.5,0.77103585,0.665657461,0.650280237,0.648014128
16.5,75.5,0.776070833,0.67362529,0.713968873,0.52964896
17.5,75.5,0.760361969,0.675247133,0.729893386,0.48025468
18.5,75.5,0.758208096,0.639545798,0.715666234,0.459415138
19.5,75.5,0.752798378,0.563140631,0.61672157,0.480726331
20.5,75.5,0.749100149,0.545324385,0.598764122,0.494483709
21.5,75.5,0.740990996,0.528275073,0.595692635,0.479305238
22.5,75.5,0.731931984,0.507846177,0.590162098,0.474880308
23.5,75.5,0.731647789,0.55314678,0.630147934,0.456684738
24.5,75.5,0.733822703,0.624760628,0.68265456,0.428461164
25.5,75.5,0.744969308,0.638043106,0.70505476,0.430635095
26.5,75.5,0.758628786,0.661163092,0.702767849,0.455156684
27.5,75.5,0.756844044,0.694141328,0.714216053,0.465169221
28.5,75.5,0.761784017,0.675997972,0.71433574,0.479123086
-11.5,74.5,0.774574757,0.546688557,0.503182888,0.66519618
-10.5,74.5,0.763051152,0.501116991,0.517559886,0.606012642
-9.5,74.5,0.72052902,0.486314446,0.510563791,0.578896761
-8.5,74.5,0.743325293,0.492883533,0.530133247,0.544116914
-7.5,74.5,0.709410787,0.511763334,0.57053268,0.482882053
-6.5,74.5,0.694652319,0.488629282,0.554633915,0.472883433
-5.5,74.5,0.697873354,0.482506007,0.547147751,0.482697815
-4.5,74.5,0.716011047,0.492108703,0.543969274,0.498121917
-3.5,74.5,0.713416576,0.479210973,0.524695873,0.512568295
-2.5,74.5,0.707137644,0.463491052,0.501024485,0.526018739
-1.5,74.5,0.726111531,0.457217306,0.489049703,0.5520311
-0.5,74.5,0.722809792,0.450622916,0.475566775,0.566479862
0.5,74.5,0.726364195,0.452945679,0.444798201,0.61702776
1.5,74.5,0.747417808,0.469106466,0.450021029,0.657045364
2.5,74.5,0.742802024,0.461885005,0.445000499,0.662425756
3.5,74.5,0.742472947,0.449716508,0.488631546,0.614425898
4.5,74.5,0.742769003,0.478083968,0.528791726,0.600549698
5.5,74.5,0.7293396,0.478040665,0.522035658,0.6236673
6.5,74.5,0.741949618,0.557568729,0.522939503,0.6680879
7.5,74.5,0.741679192,0.614110172,0.528326571,0.706231773
8.5,74.5,0.726436496,0.557458639,0.527235448,0.700016856
9.5,74.5,0.747034132,0.612822711,0.602258861,0.639082432
10.5,74.5,0.758203089,0.668505371,0.64654845,0.619593382
11.5,74.5,0.765235603,0.658201635,0.60917592,0.655548155
12.5,74.5,0.759620726,0.637832105,0.567674875,0.691454232
13.5,74.5,0.762709737,0.650366604,0.553570509,0.757851005
14.5,74.5,0.77589643,0.677160323,0.571002185,0.821335495
15.5,74.5,0.788450599,0.706118703,0.619058013,0.771727145
16.5,74.5,0.748003066,0.659508526,0.651930809,0.597076952
17.5,74.5,0.743243217,0.664759636,0.741187274,0.483529061
18.5,74.5,0.752581179,0.624651194,0.733850062,0.472118706
19.5,74.5,0.75341326,0.555989444,0.64670676,0.479504645
20.5,74.5,0.765550792,0.581828952,0.679592669,0.481701553
21.5,74.5,0.775768101,0.590167165,0.674093425,0.494318962
22.5,74.5,0.775441647,0.588528872,0.664595902,0.496729761
23.5,74.5,0.787654221,0.601773083,0.663235784,0.503865778
24.5,74.5,0.796311557,0.63432622,0.680502474,0.513603926
25.5,74.5,0.791935563,0.671080172,0.700062394,0.519075453
26.5,74.5,0.771680593,0.680146575,0.699932694,0.514733911
27.5,74.5,0.744232237,0.654446185,0.666150391,0.516094744
28.5,74.5,0.730643749,0.613691092,0.62275058,0.525699198
29.5,74.5,0.734060228,0.586871922,0.58769381,0.538155496
30.5,74.5,0.740071356,0.585193157,0.602087498,0.549589097
31.5,74.5,0.746011555,0.654573381,0.698467135,0.542274356
32.5,74.5,0.736998379,0.685708165,0.7287696,0.512506783
33.5,74.5,0.735081077,0.62092644,0.718866706,0.491720796
34.5,74.5,0.72948122,0.577436626,0.699275613,0.483456463
-15.5,73.5,0.786920726,0.641447723,0.539113581,0.744581819
-14.5,73.5,0.783685207,0.623371482,0.498863727,0.704328835
-13.5,73.5,0.789948702,0.56937623,0.498070031,0.630459428
-12.5,73.5,0.783862948,0.540261805,0.535411417,0.595171332
-11.5,73.5,0.765211284,0.511696219,0.530112624,0.58633399
-10.5,73.5,0.75136745,0.484083086,0.512425065,0.589858651
-9.5,73.5,0.733284771,0.490546942,0.461390197,0.639977694
-8.5,73.5,0.725440323,0.48882249,0.462841511,0.636921465
-7.5,73.5,0.724649131,0.466881841,0.467526734,0.61347419
-6.5,73.5,0.718939602,0.460365295,0.458238751,0.617139637
-5.5,73.5,0.722564042,0.44954583,0.45452866,0.614349902
-4.5,73.5,0.725608528,0.448053002,0.463913172,0.608876526
-3.5,73.5,0.733124077,0.464834571,0.474478483,0.615712941
-2.5,73.5,0.739450753,0.446696043,0.469797015,0.613531947
-1.5,73.5,0.747950375,0.451128036,0.485394895,0.610133111
-0.5,73.5,0.749741733,0.453641564,0.484286189,0.612667203
0.5,73.5,0.74474144,0.462352484,0.488802642,0.612501085
1.5,73.5,0.732425213,0.478829473,0.482927144,0.622584939
2.5,73.5,0.725773156,0.50198549,0.497441113,0.622745574
3.5,73.5,0.721817493,0.512710929,0.516967237,0.607179642
4.5,73.5,0.715914845,0.541743577,0.535520613,0.616867542
5.5,73.5,0.717695355,0.563245177,0.556972265,0.61476922
6.5,73.5,0.724217594,0.588516653,0.568025887,0.630069733
7.5,73.5,0.737589359,0.598691285,0.55170995,0.661989987
8.5,73.5,0.739799321,0.595972121,0.556675196,0.673668444
9.5,73.5,0.75936538,0.648884177,0.606314957,0.651751518
10.5,73.5,0.767743945,0.676721573,0.6196118,0.663308978
11.5,73.5,0.758903205,0.64784807,0.588294685,0.707318783
12.5,73.5,0.761752188,0.635376692,0.570663273,0.752341986
13.5,73.5,0.757498324,0.644109249,0.56452328,0.784354866
14.5,73.5,0.769822061,0.665093422,0.590031207,0.778064787
15.5,73.5,0.759007275,0.656790018,0.606364071,0.717053056
16.5,73.5,0.736202359,0.653843641,0.645277798,0.595584631
17.5,73.5,0.75339222,0.666776657,0.683997869,0.55180037
18.5,73.5,0.756744027,0.632129133,0.664817512,0.541887641
19.5,73.5,0.757614553,0.623043656,0.645743191,0.543849349
20.5,73.5,0.753340185,0.636412203,0.648281455,0.543173254
21.5,73.5,0.74954313,0.645453691,0.646677852,0.544132352
22.5,73.5,0.740349233,0.642067015,0.642411709,0.542531312
23.5,73.5,0.740081608,0.652565122,0.65489918,0.542704225
24.5,73.5,0.733828664,0.644506812,0.643657804,0.547985554
25.5,73.5,0.7420789,0.629827023,0.624741912,0.562540889
26.5,73.5,0.740056992,0.628192782,0.623301148,0.568820357
27.5,73.5,0.733124673,0.633548737,0.636348784,0.5708009
28.5,73.5,0.726637602,0.612029374,0.617344975,0.573985279
29.5,73.5,0.729073524,0.624627054,0.636979997,0.574745238
30.5,73.5,0.730040133,0.618763983,0.63743937,0.571546435
31.5,73.5,0.731346428,0.622280478,0.65072608,0.562622488
32.5,73.5,0.733265221,0.601310909,0.630829275,0.558660686
33.5,73.5,0.739386261,0.609683931,0.641262174,0.56406641
34.5,73.5,0.743015587,0.599095821,0.635273337,0.565802932
35.5,73.5,0.743838727,0.575137794,0.606141627,0.56465894
36.5,73.5,0.741119921,0.568646133,0.608653784,0.551036358
37.5,73.5,0.738540828,0.570909202,0.613577366,0.522484243
38.5,73.5,0.738149464,0.571193218,0.607935965,0.504446387
39.5,73.5,0.743738413,0.56024164,0.625168443,0.511879206
40.5,73.5,0.739896894,0.568059325,0.628330052,0.511627614
-20.5,72.5,0.732792139,0.60017097,0.629611313,0.469856203
-19.5,72.5,0.763127029,0.590615571,0.610137403,0.474904925
-18.5,72.5,0.790017843,0.590311527,0.543055832,0.567779601
-17.5,72.5,0.829765379,0.615905881,0.517191708,0.683370471
-16.5,72.5,0.827214301,0.646475732,0.523240268,0.74477905
-15.5,72.5,0.795211613,0.621729612,0.488475084,0.748286247
-14.5,72.5,0.806796432,0.655382931,0.493250698,0.753830612
-13.5,72.5,0.787046432,0.638813019,0.488222182,0.724891424
-12.5,72.5,0.774565578,0.596897721,0.480137855,0.667943835
-11.5,72.5,0.778405726,0.611773849,0.481969893,0.682628393
-10.5,72.5,0.771708429,0.586288035,0.492429852,0.645403862
-9.5,72.5,0.774872541,0.564676285,0.50371033,0.619710922
-8.5,72.5,0.77198422,0.559565783,0.51466924,0.600505829
-7.5,72.5,0.768067122,0.556191027,0.519988418,0.594631493
-6.5,72.5,0.764236569,0.549233794,0.514242947,0.60272038
-5.5,72.5,0.752118051,0.523436189,0.482912689,0.627114177
-4.5,72.5,0.744797587,0.543788552,0.484928995,0.648502409
-3.5,72.5,0.742687881,0.552895069,0.496661007,0.646277368
-2.5,72.5,0.732920766,0.560797513,0.500312209,0.63946563
-1.5,72.5,0.732104361,0.573326886,0.512292743,0.626381993
-0.5,72.5,0.726106644,0.593394399,0.534945369,0.615078092
0.5,72.5,0.730740726,0.590120733,0.546878338,0.611327946
1.5,72.5,0.723041832,0.585987508,0.553839803,0.610266507
2.5,72.5,0.718538165,0.585037589,0.569872618,0.598312676
3.5,72.5,0.716236591,0.598865211,0.602062702,0.586983263
4.5,72.5,0.701655805,0.589402974,0.570707321,0.624305487
5.5,72.5,0.703626871,0.568292558,0.556390226,0.642709315
6.5,72.5,0.710885167,0.555951655,0.554613888,0.655399501
7.5,72.5,0.727738023,0.593290627,0.596104324,0.653481185
8.5,72.5,0.736641228,0.635010898,0.617280722,0.642267942
9.5,72.5,0.746768892,0.665950119,0.624468565,0.644560635
10.5,72.5,0.755599558,0.682983696,0.621970654,0.664623976
11.5,72.5,0.754937947,0.665984929,0.603232145,0.713597417
12.5,72.5,0.757370114,0.652118266,0.589944363,0.760940433
13.5,72.5,0.756567538,0.637579858,0.582385898,0.763570964
14.5,72.5,0.744537354,0.636674583,0.60284245,0.724287927
15.5,72.5,0.730408609,0.633835256,0.617923379,0.659455955
16.5,72.5,0.715689778,0.653593898,0.658202052,0.594002068
17.5,72.5,0.693707108,0.638271093,0.653991401,0.569009244
18.5,72.5,0.697997987,0.639464855,0.656773567,0.568388999
19.5,72.5,0.710405052,0.659975231,0.676318884,0.571184218
20.5,72.5,0.716228962,0.66246891,0.675039053,0.572430789
21.5,72.5,0.715913951,0.65623647,0.661477983,0.566496015
22.5,72.5,0.707612216,0.652219296,0.661682725,0.561023891
23.5,72.5,0.708378375,0.660838664,0.677264869,0.563395143
24.5,72.5,0.729727983,0.664647818,0.672326982,0.576195598
25.5,72.5,0.7400226,0.662984788,0.671454489,0.583456278
26.5,72.5,0.726907611,0.658273935,0.675748646,0.570957363
27.5,72.5,0.706156254,0.635939837,0.663083136,0.55325675
28.5,72.5,0.704335749,0.604737759,0.62579143,0.55340755
29.5,72.5,0.706724763,0.596324742,0.614686251,0.555143952
30.5,72.5,0.710140407,0.592345774,0.614173591,0.555378318
31.5,72.5,0.713352799,0.590309203,0.61451304,0.55592382
32.5,72.5,0.718155921,0.587647617,0.612309456,0.557966232
33.5,72.5,0.720150948,0.590815544,0.623117447,0.559462249
34.5,72.5,0.721375704,0.590149641,0.628325939,0.555044711
35.5,72.5,0.727533519,0.585738242,0.62116003,0.550572574
36.5,72.5,0.733741879,0.583496809,0.622482896,0.54580605
37.5,72.5,0.73663938,0.587738156,0.61987114,0.543537021
38.5,72.5,0.737360537,0.583276272,0.602943659,0.539452672
39.5,72.5,0.734637737,0.573923349,0.579487443,0.524448633
40.5,72.5,0.726282537,0.581943214,0.585202456,0.510382473
41.5,72.5,0.720695078,0.59482646,0.612669766,0.509496093
42.5,72.5,0.721642375,0.595710039,0.641394317,0.515111566
43.5,72.5,0.728371263,0.581236422,0.635480702,0.526570439
44.5,72.5,0.747686028,0.659501433,0.654441893,0.538834155
45.5,72.5,0.763788462,0.656639338,0.650654018,0.550099492
46.5,72.5,0.780697048,0.662322164,0.657680571,0.558820844
47.5,72.5,0.779521525,0.665239751,0.682585001,0.559623241
48.5,72.5,0.729668975,0.584650218,0.698553264,0.5348773
49.5,72.5,0.730010748,0.547889054,0.693280101,0.511259496
-21.5,71.5,0.796557546,0.626698971,0.628987551,0.544318914
-20.5,71.5,0.749057531,0.607744932,0.617941797,0.473130107
-19.5,71.5,0.777301371,0.581200242,0.516532838,0.599262238
-18.5,71.5,0.820133626,0.642852843,0.524374247,0.725480914
-17.5,71.5,0.814158857,0.608269691,0.514211774,0.734502971
-16.5,71.5,0.816601276,0.568001032,0.499568582,0.721471429
-15.5,71.5,0.820715249,0.5706743,0.511754513,0.709168911
-14.5,71.5,0.821107328,0.579708755,0.501363873,0.719093502
-13.5,71.5,0.820742607,0.634570122,0.502219319,0.774500608
-12.5,71.5,0.829645157,0.656670213,0.516353607,0.793580353
-11.5,71.5,0.82590431,0.66893363,0.516357839,0.793565214
-10.5,71.5,0.813895941,0.67202431,0.520311415,0.782441795
-9.5,71.5,0.804182053,0.648703039,0.534720719,0.759850144
-8.5,71.5,0.79293716,0.655321956,0.53461647,0.744080186
-7.5,71.5,0.802156508,0.677626252,0.537234068,0.761533856
