Year,Total GDP,Revenue
1990,170257363368835.25,3995904919.602207
1991,175175038663185.97,3669086648.859208
1992,186599419460463.3,4723860080.069191
1993,189462615887501.75,4096522780.996545
1994,204170543823077.84,4409282563.067003
1995,228816984175197.6,4223555160.6655936
1996,236149858006320.53,3724997047.074176
1997,235979318404918.9,3348355924.953905
1998,236025437650610.16,3077634999.2263565
1999,240510018656829.4,3191905278.14335
2000,248537225469691.25,3347301894.7807417
2001,247733167096652.44,2569558649.035271
2002,257557465974198.4,2631036643.9925046
2003,290542707347294.1,2599592803.2970343
2004,329900643860828.44,3085505096.369851
2005,360957046733159.0,3747057703.3096514
2006,395951342103882.44,4548033597.469624
2007,453161915547652.06,4102642112.590424
2008,505460056533826.56,4358027366.173116
2009,480622549350097.4,4424576054.008862
2010,533177742836751.94,5392979820.612898
2011,598921306531145.2,5528549147.961499
2012,614230107708944.9,4272350733.316464
2013,636524010206229.9,6135498471.862351
2014,655769180690667.4,6050375683.481109
2015,616949253579306.6,4940907399.712889
2016,625426626346028.9,6564650216.306752
2017,670095181814374.1,7132125238.028573
2018,713443625584000.4,7452068715.128963
2019,724297185460656.0,6569689372.630765
2020,703223548721486.8,5643282348.189176
2021,807244475174054.0,6486934354.798146
2022,840202888240550.9,7683801211.951188
2023,875710797765571.5,0.0
2024,0.0,0.0
