assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1817207,186710,Cetopsis gobioides,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,gobioides,,,,"Kner, 1858",Least Concern,,3.1,Unknown,Global
2365291,19488,Rhincodon typus,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,RHINCODONTIDAE,Rhincodon,typus,,,,"Smith, 1828",Endangered,A2bd+4bd,3.1,Decreasing,Global
2954522,41741,Carcharhinus brachyurus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,brachyurus,,,,"(Günther, 1870)",Vulnerable,A2bd,3.1,Decreasing,Global
4430073,14296,Naemorhedus goral,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Naemorhedus,goral,,,,"(Hardwicke, 1825)",Near Threatened,,3.1,Decreasing,Global
4664565,154907,Cetomimus teevani,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetomimus,teevani,,,,"Harry, 1952",Least Concern,,3.1,Unknown,Global
5076357,15740,Ovis nivicola,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Ovis,nivicola,,,,"Eschcholtz, 1829",Least Concern,,3.1,Unknown,Global
9441445,2461,Babyrousa babyrussa,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,SUIDAE,Babyrousa,babyrussa,,,,"(Linnaeus, 1758)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
9643719,3160,Budorcas taxicolor,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Budorcas,taxicolor,,,,"Hodgson, 1850",Vulnerable,A2cd,3.1,Decreasing,Global
10096148,3810,Capricornis swinhoei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Capricornis,swinhoei,,,,"Gray, 1862",Least Concern,,3.1,Unknown,Global
10562361,41777,Pecari tajacu,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,TAYASSUIDAE,Pecari,tajacu,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
10656554,42188,Dama dama,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CERVIDAE,Dama,dama,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global & Mediterranean
12689285,63543,Camelus ferus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CAMELIDAE,Camelus,ferus,,,,"Przewalski, 1878",Critically Endangered,A3de+4ade,3.1,Decreasing,Global
13026736,9917,Nilgiritragus hylocrius,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Nilgiritragus,hylocrius,,,,"(Ogilby, 1838)",Endangered,C2a(i),3.1,Decreasing,Global
