assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
44199757,4162,Cephalorhynchus hectori,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Cephalorhynchus,hectori,,,,"(van Beneden, 1881)",Endangered,A4d,3.1,Decreasing,Global
50347659,2467,Balaena mysticetus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENIDAE,Balaena,mysticetus,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
50348265,2474,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,acutorostrata,,,,"Lacépède, 1804",Least Concern,,3.1,Unknown,Global
50349178,2476,Balaenoptera edeni,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,edeni,,,,"Anderson, 1879",Least Concern,,3.1,Unknown,Global
50349982,2478,Balaenoptera physalus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,physalus,,,,"(Linnaeus, 1758)",Vulnerable,A1d,3.1,Increasing,Global
50350661,2480,Balaenoptera bonaerensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,bonaerensis,,,,"Burmeister, 1867",Near Threatened,A2b,3.1,Unknown,Global
50351457,2763,Berardius bairdii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Berardius,bairdii,,,,"Stejneger, 1883",Least Concern,,3.1,Unknown,Global
50351626,3778,Caperea marginata,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,NEOBALAENIDAE,Caperea,marginata,,,,"(Gray, 1846)",Least Concern,,3.1,Unknown,Global
50351955,4160,Cephalorhynchus eutropia,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Cephalorhynchus,eutropia,,,,"Gray, 1846",Near Threatened,C1+2a(i),3.1,Decreasing,Global
50352086,4161,Cephalorhynchus heavisidii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Cephalorhynchus,heavisidii,,,,"(Gray, 1828)",Near Threatened,C1,3.1,Unknown,Global
50352346,6335,Delphinapterus leucas,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,MONODONTIDAE,Delphinapterus,leucas,,,,"(Pallas, 1776)",Least Concern,,3.1,Unknown,Global
50353881,8097,Eschrichtius robustus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ESCHRICHTIIDAE,Eschrichtius,robustus,,,,"(Lilljeborg, 1861)",Least Concern,,3.1,Stable,Global
50354147,8153,Eubalaena australis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENIDAE,Eubalaena,australis,,,,"(Desmoulins, 1822)",Least Concern,,3.1,Unknown,Global
50354433,8551,Feresa attenuata,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Feresa,attenuata,,,,"Gray, 1875",Least Concern,,3.1,Unknown,Global
50355227,9249,Globicephala macrorhynchus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Globicephala,macrorhynchus,,,,"Gray, 1846",Least Concern,,3.1,Unknown,Global
50356171,9250,Globicephala melas,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Globicephala,melas,,,,"(Traill, 1809)",Least Concern,,3.1,Unknown,Global
50356660,9461,Grampus griseus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Grampus,griseus,,,,"(G. Cuvier, 1812)",Least Concern,,3.1,Unknown,Global
50357742,10707,Hyperoodon ampullatus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Hyperoodon,ampullatus,,,,"(Forster, 1770)",Near Threatened,C1,3.1,Unknown,Global
50357964,10708,Hyperoodon planifrons,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Hyperoodon,planifrons,,,,"Flower, 1882",Least Concern,,3.1,Unknown,Global
50358152,10831,Inia geoffrensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,INIIDAE,Inia,geoffrensis,,,,"(Blainville, 1817)",Endangered,A2acd+3cd+4acd,3.1,Decreasing,Global
50358334,11047,Kogia breviceps,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,KOGIIDAE,Kogia,breviceps,,,,"(Blainville, 1838)",Least Concern,,3.1,Unknown,Global
50359330,11048,Kogia sima,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,KOGIIDAE,Kogia,sima,,,,"(Owen, 1866)",Least Concern,,3.1,Unknown,Global
50360282,11140,Lagenodelphis hosei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenodelphis,hosei,,,,"Fraser, 1956",Least Concern,,3.1,Unknown,Global
50361160,11141,Lagenorhynchus acutus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,acutus,,,,"(Gray, 1828)",Least Concern,,3.1,Unknown,Global
50361346,11142,Lagenorhynchus albirostris,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,albirostris,,,,"(Gray, 1846)",Least Concern,,3.1,Unknown,Global
50361589,11143,Lagenorhynchus australis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,australis,,,,"(Peale, 1848)",Least Concern,,3.1,Unknown,Global
50361701,11144,Lagenorhynchus cruciger,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,cruciger,,,,"(Quoy & Gaimard, 1824)",Least Concern,,3.1,Unknown,Global
50361866,11145,Lagenorhynchus obliquidens,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,obliquidens,,,,"Gill, 1865",Least Concern,,3.1,Unknown,Global
50362206,12119,Lipotes vexillifer,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,LIPOTIDAE,Lipotes,vexillifer,,,,"Miller, 1918",Critically Endangered,"C2a(i,ii); D",3.1,Decreasing,Global
50362415,12125,Lissodelphis borealis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lissodelphis,borealis,,,,"(Peale, 1848)",Least Concern,,3.1,Unknown,Global
50362558,12126,Lissodelphis peronii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lissodelphis,peronii,,,,"(Lacépède, 1804)",Least Concern,,3.1,Unknown,Global
50362794,13006,Megaptera novaeangliae,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Megaptera,novaeangliae,,,,"(Borowski, 1781)",Least Concern,,3.1,Increasing,Global
50363686,13241,Mesoplodon bidens,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,bidens,,,,"(Sowerby, 1804)",Least Concern,,3.1,Unknown,Global
