Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2013,S,MAM,BALEEN WHALES NEI,29,0,1,281,1,0.003558719,0,-7.5,-167.5
2013,S,MAM,BALEEN WHALES NEI,97,0,5,699,5,0.007153076,0,-7.5,157.5
2013,S,MAM,BALEEN WHALES NEI,56,0,2,357,2,0.005602241,0,-7.5,177.5
2013,S,MAM,BALEEN WHALES NEI,113,0,2,795,2,0.002515723,0,-2.5,147.5
2013,S,MAM,BALEEN WHALES NEI,162,0,9,2462,9,0.003655565,0,-2.5,152.5
2013,S,MAM,BALEEN WHALES NEI,171,0,2,5724,2,0.000349406,0,-2.5,157.5
2013,S,MAM,BALEEN WHALES NEI,129,0,1,1589,1,0.000629327,0,-2.5,172.5
2013,S,MAM,BALEEN WHALES NEI,93,0,1,838,1,0.001193317,0,-2.5,177.5
2013,S,MAM,BALEEN WHALES NEI,80,0,1,451,1,0.002217295,0,2.5,172.5
2014,S,MAM,BALEEN WHALES NEI,88,0,2,907,2,0.002205072,0,-7.5,-177.5
2014,S,MAM,BALEEN WHALES NEI,93,1,0,858,1,0.001165501,0.001165501,-2.5,152.5
2014,S,MAM,BALEEN WHALES NEI,114,0,1,1135,1,0.000881057,0,-2.5,157.5
2014,S,MAM,BALEEN WHALES NEI,149,0,7,2653,7,0.002638522,0,-2.5,177.5
2014,S,MAM,BALEEN WHALES NEI,136,0,10,3862,10,0.002589332,0,2.5,167.5
2014,S,MAM,BALEEN WHALES NEI,134,0,1,2569,1,0.000389257,0,2.5,172.5
2014,S,MAM,BALEEN WHALES NEI,36,0,2,88,2,0.022727273,0,7.5,157.5
2015,S,MAM,BALEEN WHALES NEI,76,0,4,943,4,0.004241782,0,-7.5,-162.5
2015,S,MAM,BALEEN WHALES NEI,54,0,2,535,2,0.003738318,0,-2.5,-172.5
2015,S,MAM,BALEEN WHALES NEI,84,0,1,481,1,0.002079002,0,-2.5,162.5
